gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,tenure_bin,avg_monthly_spend,monthly_ratio,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,15.557692307692308,1.5230769230769232,False,False,True,False,True,False,True,False,False,False,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,0,10.075,10.075,False,False,True,True,False,False,False,False,False,True,1
1,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,4,59.40847457627118,1.0152542372881355,True,False,False,False,False,True,False,True,False,False,0
0,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,3,59.406000000000006,1.192,True,False,False,True,False,False,False,True,False,False,0
1,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,2,49.37419354838709,1.7838709677419353,True,False,False,True,False,False,True,False,False,False,0
0,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,3,98.940625,2.0697916666666667,False,True,False,True,False,False,False,False,True,False,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,0,15.1,15.1,True,False,False,True,False,False,False,False,True,False,1
0,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,4,87.2527397260274,1.2363013698630136,True,False,False,False,False,True,False,True,False,False,0
1,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,60.727777777777774,3.5944444444444446,True,False,False,True,False,False,False,False,False,True,1
1,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,4,93.98541666666667,1.3381944444444445,False,True,False,False,False,True,False,True,False,False,0
0,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,60.550000000000004,31.833333333333332,False,True,False,True,False,False,False,True,False,False,0
1,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,1,66.94464285714285,2.3625000000000003,True,False,False,False,True,False,False,False,False,True,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,10.1,10.1,False,False,True,True,False,False,True,False,False,False,0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,22.625,22.625,True,False,False,True,False,False,True,False,False,False,0
1,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,4,99.33835616438355,1.3684931506849316,False,True,False,False,False,True,True,False,False,False,0
0,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,0,52.81666666666666,11.616666666666667,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,3,75.49574468085106,1.5914893617021275,False,True,False,True,False,False,False,True,False,False,0
0,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,2,101.40714285714286,3.0385714285714283,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,0,92.11666666666667,8.154166666666667,False,True,False,True,False,False,True,False,False,False,1
0,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,43.24545454545454,4.504545454545454,True,False,False,False,True,False,False,False,False,True,0
1,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,4,68.62464788732395,0.9746478873239437,True,False,False,False,False,True,False,True,False,False,0
1,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,1,23.23611111111111,1.1527777777777777,False,False,True,False,True,False,False,False,False,True,0
1,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,4,75.96015625,1.24765625,True,False,False,False,False,True,False,True,False,False,0
1,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,70.10357142857143,5.442857142857143,True,False,False,True,False,False,False,False,True,False,0
1,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,3,78.134,1.69,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,32.333333333333336,16.416666666666668,True,False,False,True,False,False,False,False,False,True,0
1,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,0,48.050000000000004,26.883333333333336,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,3,79.5811320754717,1.5047169811320755,True,False,False,False,False,True,False,True,False,False,0
1,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,4,60.77285714285715,0.9164285714285715,True,False,False,False,False,True,False,True,False,False,0
1,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,2,87.24431818181819,2.0511363636363638,False,True,False,True,False,False,False,False,True,False,0
1,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,89.15,6.19375,False,True,False,True,False,False,False,True,False,False,1
1,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,1,67.40961538461539,2.673076923076923,True,False,False,True,False,False,False,True,False,False,0
1,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,0,70.36666666666666,8.961111111111112,False,True,False,True,False,False,False,True,False,False,1
1,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,4,73.05491803278689,1.2270491803278687,True,False,False,False,True,False,False,True,False,False,0
0,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,92.23947368421052,5.023684210526316,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,4,98.6125,1.55703125,False,True,False,False,True,False,False,True,False,False,0
0,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,4,105.61716417910448,1.6186567164179104,False,True,False,False,True,False,False,False,True,False,0
1,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,2,25.55142857142857,0.7128571428571429,False,False,True,False,False,True,False,True,False,False,0
1,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,4,107.58493150684932,1.4726027397260273,False,True,False,False,False,True,False,True,False,False,0
1,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,3,98.06458333333335,2.09375,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,4,89.35573770491803,1.4737704918032788,False,True,False,True,False,False,True,False,False,False,0
0,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,4,40.57534246575342,0.5767123287671233,True,False,False,False,False,True,True,False,False,False,0
1,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,1,50.373684210526314,2.863157894736842,True,False,False,False,True,False,False,True,False,False,0
1,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,0,85.725,9.440000000000001,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,61.025,18.825,True,False,False,True,False,False,False,False,True,False,0
0,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,3,76.04895833333333,1.64375,False,True,False,False,True,False,False,False,True,False,0
1,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,2,78.0375,2.475,True,False,False,False,False,True,False,False,False,True,0
1,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,3,18.25294117647059,0.39509803921568626,False,False,True,False,False,True,True,False,False,False,0
0,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,80.66818181818182,7.259090909090909,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,24.525,24.525,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,3,20.578301886792456,0.38490566037735846,False,False,True,False,True,False,False,False,True,False,0
0,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,4,109.21538461538462,1.7169230769230768,False,True,False,False,False,True,True,False,False,False,0
0,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,4,22.61269841269841,0.38492063492063494,False,False,True,False,False,True,True,False,False,False,0
1,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,44.35,16.125,True,False,False,True,False,False,True,False,False,False,0
1,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,3,107.71052631578948,1.9385964912280702,False,True,False,False,True,False,False,False,True,False,0
1,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,3,57.2095744680851,1.1840425531914893,True,False,False,False,True,False,False,True,False,False,0
1,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,53.583333333333336,6.072222222222222,True,False,False,True,False,False,False,False,False,True,0
0,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,2,68.10645161290323,2.411290322580645,True,False,False,True,False,False,False,False,True,False,0
1,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,3,26.44782608695652,0.5630434782608695,False,False,True,False,True,False,False,True,False,False,0
1,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,0,39.675,39.675,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,47.112500000000004,4.2124999999999995,True,False,False,True,False,False,False,False,True,False,0
1,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,0,62.1125,9.39375,False,True,False,True,False,False,True,False,False,False,1
1,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,2,100.63953488372093,2.413953488372093,False,True,False,True,False,False,True,False,False,False,0
1,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,3,19.467,0.40299999999999997,False,False,True,False,False,True,True,False,False,False,0
0,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,91.875,9.93,False,True,False,True,False,False,False,True,False,False,0
1,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,2,61.540277777777774,1.7263888888888888,True,False,False,False,True,False,True,False,False,False,0
1,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,3,21.571428571428573,0.4214285714285714,False,False,True,False,False,True,True,False,False,False,0
1,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,3,19.72553191489362,0.42446808510638295,False,False,True,False,False,True,False,False,False,True,0
0,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,2,33.641666666666666,1.125,True,False,False,True,False,False,False,False,False,True,0
0,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,2,82.90967741935484,2.646774193548387,False,True,False,True,False,False,True,False,False,False,0
0,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,37.35,37.35,False,True,False,True,False,False,False,False,True,False,0
0,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,4,85.28731343283582,1.2537313432835822,True,False,False,False,False,True,False,False,False,True,0
1,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,4,107.68181818181819,1.6825757575757576,False,True,False,True,False,False,False,True,False,False,0
0,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,4,102.17876712328767,1.382191780821918,False,True,False,False,False,True,True,False,False,False,0
1,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,0,71.33461538461539,6.073076923076924,False,True,False,True,False,False,False,False,True,False,1
0,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,4,65.95416666666667,0.9284722222222221,True,False,False,False,True,False,False,True,False,False,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,0,18.974999999999998,3.5083333333333333,False,False,True,True,False,False,False,False,False,True,1
0,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,3,20.89056603773585,0.39622641509433965,False,False,True,False,False,True,True,False,False,False,0
1,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,96.71153846153847,3.7884615384615383,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,10.1,10.1,False,False,True,True,False,False,False,False,False,True,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,9.725,9.725,False,False,True,True,False,False,False,False,True,False,0
0,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,2,92.45128205128205,2.4358974358974357,False,True,False,False,True,False,True,False,False,False,0
1,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,4,45.18283582089552,0.6798507462686567,True,False,False,False,True,False,True,False,False,False,0
0,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,4,110.31666666666668,1.5942028985507246,False,True,False,False,False,True,True,False,False,False,1
0,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,16.7,4.05,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,4,100.04178082191781,1.4267123287671233,False,True,False,False,True,False,False,False,True,False,0
1,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,2,28.11060606060606,0.9136363636363636,True,False,False,False,True,False,False,False,False,True,0
0,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,2,89.12045454545455,2.1443181818181816,False,True,False,False,True,False,False,False,False,True,0
0,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,4,18.674657534246574,0.2657534246575342,False,False,True,False,False,True,False,True,False,False,0
0,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,3,93.55178571428571,1.7276785714285714,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,3,57.40094339622642,1.0933962264150945,True,False,False,False,True,False,False,True,False,False,0
1,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,2,89.86590909090908,2.0829545454545455,False,True,False,True,False,False,False,False,True,False,0
1,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,2,75.47763157894737,2.013157894736842,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,4,52.66923076923077,0.84,True,False,False,False,False,True,False,False,True,False,0
0,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,62.1,22.4625,False,True,False,True,False,False,False,False,True,False,0
1,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,2,30.44189189189189,0.8391891891891892,True,False,False,False,False,True,True,False,False,False,0
1,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,0,96.78636363636365,9.113636363636363,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,2,19.88452380952381,0.49166666666666664,False,False,True,False,False,True,False,False,False,True,0
0,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,1,76.84285714285714,3.042857142857143,False,True,False,True,False,False,False,True,False,False,0
1,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,3,96.76228070175438,1.750877192982456,False,True,False,False,True,False,False,True,False,False,0
1,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,16.107142857142858,2.957142857142857,False,False,True,True,False,False,False,False,False,True,0
0,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,0,57.3875,18.6,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,43.79375,6.3375,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,12.58,4.17,False,False,True,True,False,False,False,False,False,True,0
0,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,2,89.0485294117647,2.6161764705882353,False,True,False,False,False,True,False,False,True,False,0
1,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,76.26785714285714,2.7875,False,True,False,True,False,False,False,False,True,False,1
0,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,4,23.615753424657534,0.32260273972602743,False,False,True,False,False,True,True,False,False,False,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,9.875,9.875,False,False,True,True,False,False,False,False,False,True,0
0,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,4,55.35208333333333,0.7840277777777778,True,False,False,False,True,False,False,False,True,False,0
1,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,86.83214285714287,6.139285714285714,False,True,False,True,False,False,False,False,True,False,0
1,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,57.79423076923077,2.253846153846154,True,False,False,True,False,False,False,True,False,False,1
0,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,4,47.942647058823525,0.7433823529411764,True,False,False,False,False,True,True,False,False,False,0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,0,17.725,17.725,True,False,False,True,False,False,False,False,True,False,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,0,27.083333333333332,14.783333333333333,True,False,False,True,False,False,False,False,True,False,1
1,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,2,27.004545454545454,0.5840909090909091,False,False,True,False,False,True,False,True,False,False,0
1,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,1,74.10416666666667,3.125,False,True,False,True,False,False,True,False,False,False,0
1,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,4,19.657692307692308,0.31076923076923074,False,False,True,False,False,True,False,False,False,True,0
0,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,3,20.181896551724137,0.33793103448275863,False,False,True,False,False,True,False,False,False,True,0
1,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,0,35.225,35.225,False,True,False,True,False,False,False,False,False,True,1
1,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,4,88.02260273972603,1.2061643835616438,True,False,False,False,False,True,False,True,False,False,0
1,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,0,62.62777777777777,7.905555555555556,True,False,False,True,False,False,False,False,True,False,1
1,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,4,96.31048387096774,1.6298387096774194,False,True,False,False,False,True,True,False,False,False,0
0,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,4,81.37,1.2969230769230768,False,True,False,False,True,False,False,True,False,False,0
0,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,4,24.391666666666666,0.3326388888888889,False,False,True,False,False,True,True,False,False,False,0
1,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,4,97.22272727272727,1.5007575757575757,False,True,False,False,False,True,False,True,False,False,0
0,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,15.3375,4.9,False,False,True,False,True,False,False,False,False,True,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,0,22.825,22.825,True,False,False,True,False,False,False,False,True,False,1
0,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,2,62.25645161290323,2.0806451612903225,True,False,False,False,True,False,False,True,False,False,0
0,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,1,66.9625,4.34375,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,62.705555555555556,7.616666666666666,True,False,False,True,False,False,False,False,True,False,0
0,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,0,81.9375,11.875,False,True,False,True,False,False,False,False,False,True,1
1,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,4,111.69788732394366,1.5232394366197184,False,True,False,False,True,False,False,True,False,False,0
0,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,4,82.78174603174604,1.3666666666666665,True,False,False,False,False,True,False,False,True,False,0
1,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,16.214285714285715,2.814285714285714,False,False,True,True,False,False,False,False,False,True,0
1,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,76.85333333333332,5.3933333333333335,False,True,False,True,False,False,True,False,False,False,0
1,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,1,79.21521739130435,3.6586956521739133,False,True,False,True,False,False,True,False,False,False,0
0,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,1,18.256521739130434,0.8760869565217391,False,False,True,False,True,False,False,False,False,True,0
0,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,1,60.23529411764706,3.7794117647058822,True,False,False,False,False,True,False,False,False,True,0
0,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,22.87272727272727,2.3363636363636364,False,False,True,False,False,True,True,False,False,False,0
1,0,0,1,13,1,0,1,1,0,0,0,0,1,56.0,764.55,0,54.61071428571428,4.0,True,False,False,True,False,False,False,False,True,False,0
1,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,1,75.82619047619048,3.923809523809524,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,2,1,0,0,0,0,0,0,0,1,69.7,135.2,0,45.06666666666666,23.233333333333334,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,53,1,1,0,1,1,1,0,1,1,73.9,3958.25,3,73.30092592592592,1.3685185185185187,True,False,False,False,False,True,True,False,False,False,0
1,0,1,1,11,1,0,0,0,0,0,0,0,0,20.6,233.9,0,19.491666666666667,1.7166666666666668,False,False,True,False,True,False,False,False,False,True,0
0,0,1,0,69,1,0,0,0,0,0,0,0,0,19.9,1363.45,4,19.477857142857143,0.28428571428571425,False,False,True,False,False,True,False,False,False,True,0
1,0,0,0,4,1,0,0,0,0,0,0,0,1,70.9,273.0,0,54.6,14.180000000000001,False,True,False,True,False,False,True,False,False,False,1
0,0,1,0,72,1,1,1,1,1,1,1,1,1,89.05,6254.45,4,85.67739726027396,1.2198630136986301,True,False,False,False,False,True,True,False,False,False,0
0,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,4,44.93559322033898,0.7677966101694915,True,False,False,True,False,False,False,False,True,False,1
1,0,1,1,16,1,0,0,0,0,0,0,0,0,20.4,321.4,1,18.905882352941177,1.2,False,False,True,True,False,False,False,False,True,False,0
0,0,1,0,43,1,0,1,0,1,1,0,0,1,84.25,3539.25,2,80.4375,1.9147727272727273,False,True,False,False,True,False,True,False,False,False,0
1,0,1,0,2,1,1,0,0,1,1,1,1,1,104.4,242.8,0,80.93333333333334,34.800000000000004,False,True,False,True,False,False,False,False,True,False,1
0,0,1,0,14,1,0,0,1,1,1,1,1,0,81.95,1181.75,0,78.78333333333333,5.463333333333334,True,False,False,False,False,True,False,False,False,True,0
1,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,3,92.59629629629629,1.7564814814814813,False,True,False,False,True,False,True,False,False,False,1
1,0,0,0,32,1,0,0,0,0,0,0,0,0,20.55,654.55,2,19.834848484848482,0.6227272727272728,False,False,True,False,True,False,True,False,False,False,0
1,0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,780.2,2,22.291428571428572,0.7057142857142857,False,False,True,True,False,False,False,False,True,False,0
1,1,0,0,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,1,71.60625,4.653125,False,True,False,True,False,False,False,False,False,True,1
1,1,0,0,7,1,0,1,0,0,0,0,0,0,76.45,503.6,0,62.95,9.55625,False,True,False,True,False,False,True,False,False,False,1
1,0,1,1,15,1,1,0,1,1,0,1,1,1,105.35,1559.25,1,97.453125,6.584375,False,True,False,True,False,False,True,False,False,False,0
